 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
120,57,4,3,5,17,14,150
128,50,4,4,4,14,20,316
153,48,3,4,7,23,12,77
104,48,4,4,49,78,5,3
121,54,3,3,6,19,12,93
93,47,4,4,9,35,9,38
160,53,3,3,7,23,12,82
99,45,4,5,6,23,12,74
138,52,4,3,5,18,16,186
135,51,3,4,6,19,13,113
123,47,4,4,6,17,13,133
118,49,4,3,7,21,11,72
109,40,4,5,6,18,13,122
92,45,4,5,8,29,10,44
100,50,4,4,153,74,2,4
128,62,4,3,12,34,8,27
113,47,4,4,6,22,14,122
78,43,4,6,7,26,11,64
132,47,3,4,7,24,12,79
139,63,3,3,7,25,12,75
79,50,5,7,138,90,3,2
120,65,4,3,6,23,12,87
126,49,4,3,5,17,14,131
129,53,4,4,5,16,16,197
113,55,4,4,6,18,14,127
111,45,4,4,6,23,12,83
94,55,5,4,7,27,12,78
98,47,4,4,6,19,12,103
129,49,4,4,7,26,11,71
82,41,4,6,5,22,14,122
132,56,3,3,7,26,11,64
117,47,4,4,5,15,18,258
81,38,4,8,6,16,14,153
139,54,3,3,6,18,12,103
143,58,3,3,9,31,9,35
91,45,4,5,10,33,9,30
116,46,4,4,5,19,13,115
152,55,3,4,6,22,11,79
130,56,4,3,6,22,12,96
138,57,4,3,6,18,14,134
125,51,4,4,5,20,15,145
94,43,4,5,5,16,15,177
132,58,4,3,5,14,20,327
126,52,4,3,6,22,13,102
124,55,4,3,5,19,17,198
109,52,4,4,6,17,13,142
98,46,4,5,6,21,13,103
109,51,4,4,5,16,15,184
103,58,4,4,7,22,12,95
122,48,4,4,6,18,12,101
107,55,4,3,5,16,14,160
117,56,4,3,5,17,16,196
128,53,3,3,9,30,9,41
86,43,4,5,7,26,11,68
105,60,4,3,61,81,4,2
150,59,3,3,7,27,12,79
120,52,4,4,6,20,12,97
126,50,4,4,6,17,14,147
72,41,4,7,5,19,15,149
128,49,3,4,6,23,12,88
128,52,4,4,8,25,10,59
106,55,4,3,7,22,11,81
103,46,4,5,5,17,16,178
132,53,4,3,6,20,13,110
127,55,3,3,7,23,11,66
124,49,4,4,5,20,15,150
127,45,4,4,5,15,17,251
118,43,4,5,5,15,16,235
134,49,3,4,6,20,14,134
102,53,4,4,5,19,14,128
124,43,4,4,6,20,12,91
137,46,4,4,6,18,13,120
110,49,4,4,6,22,12,87
88,49,5,6,72,94,4,2
135,58,4,3,6,20,13,109
126,55,3,4,5,13,22,424
122,51,4,4,5,18,17,204
102,51,4,4,5,18,16,162
107,46,4,4,10,35,8,27
154,46,3,4,9,29,8,30
112,45,4,4,7,18,11,94
46,49,7,14,78,79,4,3
106,55,4,4,7,25,11,70
97,49,4,4,4,14,21,373
133,52,4,3,7,26,12,85
134,47,3,4,9,29,9,37
112,57,4,4,6,21,12,82
115,49,4,4,11,37,9,29
95,46,5,7,154,96,3,2
91,48,4,5,5,16,15,179
119,49,4,4,6,22,12,87
110,53,4,3,6,20,12,85
93,44,4,5,6,16,14,160
127,61,4,3,7,25,12,88
151,57,3,3,6,18,14,137
144,58,3,3,7,27,11,63
119,60,4,3,6,21,14,123
95,52,4,4,7,22,11,66
122,50,4,4,6,17,13,141
102,46,4,4,6,18,13,122
125,50,4,4,12,40,8,24
94,49,4,4,8,29,11,56
148,45,3,4,5,18,14,138
101,53,4,4,5,17,18,221
129,50,3,3,9,32,9,39
92,41,4,5,7,23,11,71
129,55,4,3,6,21,13,105
116,57,4,4,72,92,4,2
118,52,4,4,7,24,11,63
130,57,3,3,6,18,13,124
94,39,4,6,5,18,15,146
89,38,4,7,5,16,16,201
140,54,4,3,7,26,11,63
113,50,3,3,8,26,11,69
137,48,3,4,6,25,12,79
98,51,4,4,7,26,12,83
120,56,4,3,5,15,17,221
150,50,3,4,9,33,9,38
145,95,3,2,59,79,5,3
146,46,3,4,5,16,16,216
124,46,4,4,7,22,12,81
112,48,4,4,7,25,12,76
134,55,4,3,7,24,12,91
134,49,3,4,9,29,9,42
105,53,4,3,5,17,15,172
107,51,4,5,6,20,14,124
108,40,4,5,6,23,12,85
109,48,4,4,5,18,16,164
114,48,4,4,4,15,20,300
119,45,4,4,5,17,13,139
108,49,4,4,7,27,12,74
128,45,4,4,7,26,11,61
91,49,4,4,7,23,11,64
139,56,4,3,15,46,7,14
28,35,9,35,107,84,4,2
107,43,4,5,8,25,10,51
127,46,4,4,4,14,23,412
131,52,4,3,7,26,11,69
118,53,4,4,6,20,13,98
134,57,4,3,7,22,12,81
105,46,4,4,5,22,14,117
96,43,4,5,4,16,21,351
131,55,4,3,6,17,14,146
112,44,4,5,6,19,11,89
122,49,4,4,11,31,8,29
96,46,4,4,5,20,16,156
114,50,4,4,8,26,10,44
88,44,5,8,7,26,12,77
95,51,4,5,5,15,19,279
134,56,3,3,4,13,26,545
110,58,4,3,8,27,11,72
126,52,4,4,5,16,15,168
148,60,3,3,206,63,2,7
113,42,4,4,5,16,16,193
128,55,4,4,6,24,13,102
118,55,4,3,9,33,9,37
113,53,4,3,14,42,7,16
135,57,4,3,8,29,10,42
118,48,4,4,4,13,21,393
110,53,4,4,4,14,23,409
130,52,3,4,9,34,9,35
128,54,3,3,6,21,12,99
103,48,4,4,6,22,12,81
115,43,4,5,19,53,6,11
126,57,4,3,7,26,11,62
113,46,4,4,4,15,22,374
26,52,7,17,114,75,4,3
108,51,4,3,5,19,16,164
116,62,4,3,6,22,13,97
109,54,4,3,6,18,13,114
113,55,4,4,4,12,31,842
157,55,3,3,6,23,12,91
141,53,4,3,6,22,12,82
98,45,4,4,7,23,10,60
136,58,4,3,5,17,14,149
111,49,4,4,6,18,12,105
131,54,4,3,12,36,8,25
114,59,4,3,6,20,13,116
122,50,4,4,6,19,13,110
117,60,4,3,11,35,8,27
112,57,4,3,6,20,13,106
159,62,3,3,194,81,2,5
104,47,4,4,14,45,8,19
133,52,3,3,9,33,10,40
40,50,7,14,5,17,17,204
139,59,4,3,5,14,19,301
101,49,4,4,6,20,13,101
105,55,4,4,4,16,21,339
79,39,4,7,12,39,8,23
107,54,4,4,5,14,18,285
119,50,4,4,6,19,12,91
89,51,5,6,57,75,4,3
117,73,4,2,150,94,3,2
123,51,4,3,7,28,10,55
93,41,5,7,75,82,4,2
110,54,4,3,5,17,15,166
115,38,4,5,5,16,17,219
106,51,4,4,6,22,12,86
123,61,4,3,5,15,16,213
123,52,4,4,6,17,14,145
130,57,4,3,6,22,12,91
154,56,3,3,6,17,13,132
120,49,4,4,9,31,9,39
81,41,4,7,9,34,10,40
112,45,4,4,6,18,12,107
133,53,4,3,5,19,13,112
140,53,4,3,4,13,24,521
137,43,3,4,7,22,11,66
170,57,3,4,194,72,2,5
100,47,4,5,7,27,12,71
118,56,4,4,7,25,12,73
89,39,4,6,11,38,8,24
131,54,4,3,5,14,19,318
126,60,4,3,6,20,12,94
117,49,4,3,40,60,5,4
149,59,3,3,5,17,15,166
129,53,4,3,6,17,13,133
150,56,3,3,4,14,23,429
126,51,4,4,4,14,23,414
130,46,4,4,5,21,14,125
102,60,4,3,22,56,6,9
138,54,4,3,7,24,11,67
131,53,4,3,6,19,12,94
111,41,4,5,6,18,13,115
145,59,3,3,8,27,9,45
121,60,4,3,5,17,14,156
122,53,4,3,11,37,8,23
115,54,4,3,8,25,10,46
142,53,4,3,6,22,13,95
158,46,3,4,4,13,26,576
91,41,4,6,5,20,14,129
118,49,4,4,7,26,12,72
113,49,4,4,5,15,17,243
132,53,3,3,5,16,16,202
108,43,4,5,25,60,6,8
142,51,3,3,6,20,13,117
134,53,3,3,6,19,13,122
126,51,4,3,7,25,10,54
140,46,3,4,7,27,10,52
84,39,4,7,5,15,17,248
119,52,4,3,17,48,7,12
144,45,3,5,6,19,12,92
137,45,3,4,8,29,10,49
110,49,4,4,5,19,17,194
112,52,4,4,6,18,13,124
155,46,3,4,5,16,16,200
108,52,4,3,7,27,11,64
127,55,4,4,9,33,10,44
129,50,4,4,7,28,10,52
99,48,4,4,6,17,13,138
118,54,4,4,5,14,18,293
121,46,4,4,5,15,20,324
133,54,4,3,6,18,13,124
93,47,5,5,8,32,10,47
125,61,4,3,5,15,18,256
113,47,4,4,7,21,11,68
118,50,4,4,6,22,12,87
97,44,4,4,6,23,13,100
122,50,4,4,9,30,9,41
136,51,3,4,7,23,12,77
131,48,4,4,5,15,17,230
82,39,5,7,7,28,10,51
125,51,4,4,5,17,15,159
110,57,4,3,6,20,13,105
141,51,3,4,6,23,13,103
143,55,4,3,100,103,4,2
135,55,4,3,6,24,12,78
151,58,3,3,9,31,10,45
140,54,4,3,7,24,11,72
138,56,3,3,7,26,11,65
86,41,4,6,5,17,18,244
116,45,4,4,5,14,18,319
117,50,4,4,8,27,11,61
158,58,3,3,5,19,14,134
116,48,4,4,9,34,10,40
136,50,3,4,6,20,12,91
116,56,4,3,16,46,7,13
115,54,4,3,7,24,13,97
135,49,4,3,14,45,7,17
111,55,4,3,7,21,11,74
120,47,4,4,6,18,13,113
117,51,4,4,26,61,6,8
122,45,4,5,7,19,11,89
123,53,4,4,6,20,13,110
145,55,4,3,42,77,5,4
129,49,3,4,8,33,10,41
97,49,4,5,6,23,12,84
164,59,3,4,107,109,4,2
122,60,4,3,5,18,16,172
104,62,4,3,6,20,12,87
96,46,4,5,10,30,8,28
98,40,4,5,7,25,11,58
102,52,4,4,6,20,14,126
121,72,4,2,77,100,4,2
85,45,4,5,9,32,9,37
119,50,4,4,5,16,15,174
82,41,4,6,7,25,11,63
122,56,3,3,7,27,12,77
121,56,3,3,5,19,16,183
75,37,4,9,10,33,8,27
151,44,3,5,5,19,15,153
134,68,3,2,189,89,2,4
110,46,4,4,4,13,22,407
100,48,4,4,6,19,15,147
101,52,4,4,6,20,13,118
107,52,4,4,7,20,11,84
119,48,4,4,22,53,6,9
138,52,3,3,4,15,22,373
81,48,5,6,11,40,9,30
138,55,3,3,8,27,10,49
103,51,4,4,4,13,26,567
118,40,4,6,8,31,10,43
117,44,4,4,5,16,16,193
111,55,4,3,8,28,10,49
110,50,4,4,9,31,9,32
31,33,10,45,64,77,5,4
131,60,4,3,6,20,12,101
113,57,4,3,5,17,16,177
161,45,3,4,5,18,17,212
147,56,3,3,90,81,4,2
106,45,4,5,5,22,15,140
134,61,3,3,6,20,13,112
120,49,4,4,6,19,12,91
112,45,4,4,5,15,16,226
29,38,8,29,95,90,4,2
141,55,3,3,13,42,8,19
114,49,4,3,7,24,11,63
112,37,4,6,10,36,9,34
112,47,4,4,5,16,15,176
154,52,3,3,5,19,15,153
130,51,4,4,12,40,8,23
128,60,3,3,8,28,10,52
128,46,4,4,5,20,14,129
101,49,4,4,6,19,14,130
117,59,4,3,7,23,11,71
150,54,3,3,8,32,10,49
102,50,4,4,6,18,14,146
121,49,4,4,6,19,13,101
114,54,4,3,6,22,13,95
117,52,4,4,6,20,13,107
136,46,4,4,7,23,11,64
132,48,4,4,15,44,7,15
136,47,4,4,6,22,13,94
138,54,3,3,12,39,8,22
119,50,4,4,6,20,13,117
124,49,4,3,6,23,12,90
108,51,4,3,5,16,16,196
63,51,6,9,8,30,10,50
111,52,4,3,6,22,13,111
139,51,3,4,9,26,9,43
115,57,4,3,6,18,12,107
117,60,4,3,7,23,10,51
72,41,6,13,27,64,6,9
124,50,3,3,6,18,13,119
41,35,8,33,31,68,6,8
112,50,4,4,8,28,10,48
134,61,3,3,6,17,13,119
103,54,4,4,5,20,15,145
151,52,3,4,13,43,8,21
144,55,3,3,6,25,13,96
52,36,8,26,27,56,6,10
137,58,4,3,6,24,12,84
128,57,4,3,5,18,14,141
154,52,3,4,8,30,10,46
93,48,4,5,12,42,8,23
123,51,4,4,8,23,10,52
18,35,9,39,27,52,6,10
121,46,4,4,5,17,14,158
123,53,3,3,6,22,13,99
156,52,3,3,8,31,10,41
97,51,4,4,9,33,9,35
121,57,3,3,7,25,11,69
92,43,4,5,8,31,10,53
127,64,3,3,11,39,8,26
101,47,4,4,17,51,7,14
133,55,4,3,5,17,17,209
112,49,4,4,7,25,11,64
120,54,4,3,10,33,8,28
104,47,4,5,7,25,10,51
121,46,4,4,5,19,15,157
109,54,4,4,5,17,18,220
144,57,4,3,10,35,9,33
130,45,4,4,5,15,17,250
136,55,3,4,5,18,13,118
120,47,4,4,8,32,10,44
96,55,4,4,117,81,3,2
93,57,4,4,119,69,3,3
105,47,4,4,5,16,14,161
88,47,4,5,54,84,5,3
133,49,4,4,5,17,14,144
114,49,4,4,5,18,16,179
79,42,5,9,9,35,10,42
121,56,4,4,7,26,11,58
122,53,4,4,8,28,10,48
66,42,6,13,8,32,10,41
99,57,4,4,6,18,14,130
108,45,4,4,6,21,12,85
93,57,5,4,179,64,2,6
41,37,7,20,136,49,4,4
124,53,4,4,7,24,12,87
149,42,4,4,8,29,10,50
140,56,3,3,7,28,11,57
111,50,4,4,5,16,18,263
110,56,4,3,6,19,13,115
123,53,4,3,5,21,15,131
67,41,6,13,27,58,6,10
111,52,4,4,5,18,13,109
17,35,9,39,76,68,4,3
114,55,4,3,5,16,19,281
117,57,4,3,8,28,11,59
125,63,4,3,10,35,9,30
99,47,4,4,6,19,14,148
105,54,4,3,6,19,12,106
104,56,4,3,5,14,20,358
43,34,8,26,71,72,5,4
114,51,4,4,7,25,10,55
76,38,6,15,11,37,9,31
61,45,6,13,66,66,5,4
131,57,4,3,7,24,10,56
117,46,4,4,10,35,9,33
119,54,4,4,21,54,6,10
139,49,4,4,6,19,12,98
120,51,4,4,6,18,14,144
78,38,5,8,5,19,14,122
120,48,4,4,11,38,9,29
134,60,3,3,10,34,9,30
107,49,4,4,6,17,13,127
142,53,4,3,28,58,6,6
36,45,7,17,63,70,5,4
139,65,3,2,56,89,5,3
134,50,4,3,6,20,12,96
111,51,3,3,161,63,2,5
98,37,4,7,6,25,12,82
119,61,4,3,20,50,7,12
121,59,4,3,166,46,2,5
101,42,4,5,7,25,11,73
115,48,4,4,7,29,11,61
127,58,4,3,6,19,12,90
52,34,7,24,17,48,7,16
35,33,9,34,37,66,6,7
155,65,3,3,79,77,4,3
104,45,5,7,11,42,9,29
148,55,3,3,6,26,12,78
127,56,4,3,6,16,14,157
147,54,3,3,7,27,11,61
74,45,5,9,19,52,7,15
115,51,4,4,8,31,10,46
17,39,9,35,38,59,5,7
62,36,6,15,11,38,8,27
128,51,4,4,5,18,16,187
49,41,7,21,41,66,5,6
155,47,3,4,5,17,17,200
120,61,4,3,6,19,12,94
80,39,5,9,8,33,10,48
160,50,3,4,109,99,3,2
125,45,4,4,9,27,8,31
86,38,4,7,7,28,10,54
133,53,4,3,7,26,12,76
117,48,4,4,5,15,15,198
116,45,4,5,4,15,21,326
128,59,4,3,6,18,12,115
117,46,4,4,5,15,15,207
129,58,4,3,8,26,10,56
47,32,8,29,29,61,6,9
119,59,4,3,7,21,11,73
107,49,4,4,8,27,11,58
126,57,4,3,9,29,9,35
130,46,4,4,5,17,16,190
106,45,5,7,34,72,6,6
104,53,4,3,5,17,15,161
116,89,4,2,152,45,4,4
127,42,4,4,6,20,13,106
87,43,4,5,6,18,12,105
126,52,4,4,6,18,14,138
144,54,3,3,131,80,3,3
132,52,4,4,9,29,9,36
126,56,3,3,5,17,14,144
115,57,3,3,14,46,8,19
16,31,11,56,134,74,3,3
128,55,3,3,9,37,9,36
97,55,4,4,126,83,3,2
86,42,4,6,10,35,9,34
128,49,4,4,7,22,11,64
164,49,3,4,6,18,14,142
145,51,3,3,9,33,10,42
110,48,4,4,5,19,14,141
104,48,4,4,7,27,11,59
92,49,4,4,6,19,12,102
127,53,4,3,6,19,12,96
149,51,3,4,5,15,15,202
119,58,4,3,7,25,13,97
128,54,4,3,6,27,12,69
127,48,4,4,5,16,14,166
91,42,4,6,5,14,17,267
109,45,4,5,6,18,12,109
81,39,4,7,7,23,11,72
137,51,3,3,6,22,13,109
145,70,3,2,8,27,10,49
141,49,3,4,6,17,13,124
127,52,4,4,7,27,12,81
151,44,4,4,6,18,13,120
145,58,3,3,10,33,8,26
114,54,4,3,6,19,13,104
137,45,3,5,7,29,11,61
125,61,4,3,7,26,10,52
127,49,3,3,4,16,22,368
102,48,4,5,11,37,8,28
116,59,4,3,5,16,15,167
131,52,4,4,8,27,11,61
151,52,3,4,5,20,14,121
124,59,3,3,7,22,11,62
119,52,4,4,7,25,11,75
125,54,4,3,6,24,11,65
103,46,4,4,6,20,14,130
124,58,4,3,6,24,12,82
114,50,4,4,6,22,13,97
112,49,4,4,5,18,16,178
118,50,4,4,20,57,7,11
143,56,3,3,6,20,14,132
50,34,7,23,28,65,6,9
128,56,4,3,5,17,15,174
97,42,4,5,6,21,13,99
101,56,4,4,5,16,17,209
116,52,4,4,5,14,20,344
86,46,5,7,10,38,9,34
99,49,4,4,34,67,5,5
124,59,4,3,4,13,24,515
25,36,9,37,120,87,3,2
130,56,3,3,32,65,6,6
129,59,4,3,17,45,7,14
143,51,3,3,6,19,13,116
86,43,4,5,6,18,12,95
132,50,3,4,7,24,10,56
108,48,4,4,5,18,16,167
117,51,4,3,5,16,15,175
97,39,4,6,9,32,9,37
32,34,9,43,79,82,4,3
49,34,7,25,43,74,5,5
28,31,10,46,61,70,5,4
127,48,4,4,8,30,9,40
131,55,3,3,6,19,13,124
96,39,4,6,5,16,16,199
95,40,4,6,6,19,12,105
116,51,4,4,5,20,14,120
116,57,4,3,8,25,10,47
135,50,3,4,9,31,9,33
130,59,3,3,5,16,15,173
142,52,3,3,5,16,15,182
147,52,3,4,9,31,10,44
99,47,4,5,6,26,12,78
112,63,4,3,14,43,8,20
58,33,7,20,13,41,8,23
67,39,6,14,43,71,5,5
64,41,6,12,10,36,9,32
85,40,5,8,20,55,7,12
150,53,3,3,13,44,8,24
100,44,4,4,11,36,8,26
120,57,4,3,9,35,9,32
137,56,4,3,8,27,10,46
107,40,4,5,8,27,10,51
140,44,3,4,4,15,18,247
140,56,3,3,7,27,11,60
103,43,4,5,12,39,8,26
126,57,3,3,5,16,14,153
110,54,4,3,4,15,22,356
124,46,4,4,16,46,7,13
153,50,3,4,7,24,12,85
114,47,4,4,7,28,11,60
108,49,4,5,9,35,9,36
62,48,6,12,18,48,7,15
109,42,4,5,8,32,10,45
93,63,5,4,72,88,4,3
132,55,4,3,37,70,5,5
119,48,4,4,23,55,6,9
109,45,4,5,7,21,11,76
143,62,3,3,58,85,4,3
97,38,4,6,7,25,11,70
184,49,2,6,117,100,3,2
114,45,4,4,9,33,9,37
116,51,4,4,6,25,12,79
88,45,4,5,6,23,12,89
129,62,4,3,5,17,18,223
131,61,3,3,4,13,24,521
112,55,4,3,9,30,10,44
138,56,3,3,12,41,8,25
123,48,4,4,6,23,11,74
108,53,4,4,6,20,13,100
47,33,8,31,28,63,6,9
127,50,4,4,6,22,14,128
101,45,4,5,5,15,17,229
120,52,4,3,6,21,12,93
134,50,4,4,7,24,11,65
142,49,3,4,5,14,18,296
135,59,3,3,5,17,15,159
118,54,4,4,5,20,16,164
155,59,3,3,14,47,8,22
135,62,3,3,8,29,11,66
99,61,4,3,15,48,8,20
139,56,3,3,5,19,16,174
151,47,3,4,7,27,11,68
146,56,3,3,10,36,9,30
87,42,4,6,5,23,14,124
99,39,4,6,4,12,28,636
106,57,4,3,6,18,13,117
157,48,3,4,13,42,7,18
34,41,8,24,79,82,4,3
128,60,4,3,8,32,10,42
117,38,4,5,5,18,16,172
123,63,4,2,18,50,7,15
120,49,4,4,6,18,13,110
135,54,4,4,7,27,11,68
106,51,4,4,6,21,13,102
73,40,6,12,21,52,6,11
85,44,5,7,15,48,7,18
99,46,4,4,8,30,10,52
16,43,9,28,160,78,3,2
130,54,4,3,7,27,12,78
134,56,3,3,5,17,14,145
166,51,3,4,8,27,10,46
113,49,4,5,9,29,9,37
123,54,4,3,6,19,12,89
104,60,4,3,9,32,10,46
119,57,4,3,6,19,12,104
133,51,4,3,6,25,12,75
128,56,4,3,5,14,18,283
113,53,4,3,6,23,12,89
123,60,4,3,6,19,13,111
109,57,4,3,15,44,7,15
150,53,3,3,6,23,13,97
163,51,3,3,6,22,13,90
98,48,4,4,11,36,8,24
111,48,4,4,7,24,11,60
142,59,3,3,8,29,11,59
130,66,4,3,4,15,21,331
123,57,4,3,9,29,9,37
125,55,4,3,4,13,24,479
106,46,4,5,6,24,12,88
114,52,4,4,6,19,11,83
105,51,4,4,6,24,13,106
134,57,4,3,7,30,11,61
115,51,4,4,7,22,11,79
129,57,3,3,5,18,15,165
126,59,4,3,8,29,9,40
76,39,4,8,7,27,10,49
112,41,4,5,9,32,9,36
113,39,4,5,6,18,13,114
116,45,4,4,5,18,15,158
118,52,4,3,8,28,9,41
123,45,4,4,5,18,17,188
119,48,4,4,5,14,19,316
117,43,4,4,5,17,18,231
100,51,4,4,12,44,8,25
105,50,4,4,7,23,11,61
100,45,4,5,5,16,14,156
111,54,4,3,6,20,12,87
53,36,8,25,52,79,5,4
20,40,8,28,61,52,5,7
112,52,4,4,6,21,12,92
140,49,3,4,9,31,9,36
108,45,4,5,4,14,23,417
120,50,4,4,6,22,13,99
124,51,4,3,9,33,10,44
123,51,4,4,6,24,12,75
136,56,4,3,6,21,13,104
112,50,4,4,5,20,14,134
21,34,10,42,106,74,4,3
113,57,4,3,6,19,13,123
73,35,6,15,42,72,5,5
111,46,4,5,5,16,14,163
74,40,4,7,5,19,15,163
122,54,4,3,6,23,13,109
157,44,3,5,11,40,9,29
29,39,8,24,58,71,5,4
91,42,4,5,6,22,12,79
99,43,4,5,6,24,13,96
100,45,4,4,6,20,11,78
140,46,4,4,8,31,10,45
116,56,4,3,5,13,20,380
98,48,4,4,8,26,11,60
100,41,4,5,7,23,11,68
91,39,4,6,5,19,14,117
115,45,4,4,5,18,17,192
128,71,3,2,42,81,5,4
116,48,4,4,6,23,13,104
101,46,4,4,5,15,17,226
128,51,4,4,5,19,13,119
98,50,4,4,7,28,11,57
101,44,4,5,7,25,11,69
136,53,4,3,5,15,16,232
112,44,4,5,8,26,10,60
32,47,7,17,75,76,4,3
64,40,6,16,16,46,8,20
95,51,4,4,10,35,9,32
116,49,5,6,45,80,5,4
115,54,4,4,10,32,9,34
134,55,3,3,8,32,10,48
34,33,8,34,34,65,6,8
18,35,10,50,110,58,4,4
112,56,4,3,6,18,12,103
121,57,4,3,9,32,9,36
50,42,7,20,52,70,5,5
118,54,4,3,5,16,19,272
139,47,3,4,10,38,9,30
101,46,4,5,6,18,13,113
127,51,4,4,5,15,16,205
122,53,4,3,5,18,16,178
65,42,6,11,22,56,6,11
37,42,8,22,38,62,5,6
106,42,4,5,6,21,13,104
119,56,4,3,125,102,3,2
112,55,4,4,63,86,4,3
41,38,8,25,46,68,5,5
115,46,4,4,5,17,17,222
74,72,5,3,142,91,3,2
129,58,3,3,7,26,11,65
114,41,4,5,9,29,9,39
147,45,4,4,5,20,14,137
123,54,4,3,22,56,6,10
94,43,5,7,39,64,5,5
121,60,4,3,5,15,18,263
72,43,5,9,11,36,9,31
79,48,5,7,68,86,4,3
126,55,4,3,10,34,9,31
71,36,5,10,6,16,14,173
80,37,4,9,12,39,8,24
133,71,4,3,18,50,7,13
112,52,4,4,5,17,14,155
144,51,4,3,8,29,9,37
64,38,6,16,23,58,6,10
56,42,7,17,8,29,11,58
56,42,6,14,35,65,5,6
76,43,5,9,24,63,6,10
36,38,8,28,36,60,5,7
88,49,4,5,5,20,14,128
26,35,9,36,32,57,6,8
75,44,6,10,26,54,6,10
104,50,4,4,9,33,10,44
106,44,4,5,13,38,7,17
127,48,4,4,5,16,18,241
102,52,4,4,4,12,26,580
28,34,10,45,96,61,4,4
36,44,7,18,44,67,5,5
87,43,5,6,8,31,9,36
116,56,4,3,7,20,11,84
56,33,8,30,65,84,4,3
84,42,4,6,5,14,18,280
127,56,3,3,5,20,14,119
67,38,6,14,21,54,6,10
129,51,3,3,10,37,9,30
107,54,4,4,4,15,21,328
107,59,4,4,5,19,13,114
102,55,4,4,5,16,15,178
131,58,4,3,15,42,7,15
140,42,4,5,6,18,13,113
107,47,4,4,5,22,13,108
122,57,4,3,26,62,6,8
110,55,4,3,6,19,13,120
93,40,4,7,5,19,15,167
12,36,10,41,77,51,5,6
119,51,4,4,12,37,8,21
144,51,3,4,7,28,11,56
155,53,3,3,5,19,15,157
117,58,4,3,5,15,19,289
143,51,3,4,6,22,14,114
116,45,4,5,9,33,9,39
87,43,4,5,6,22,13,103
107,56,4,3,6,23,12,80
142,56,4,3,6,18,13,118
146,51,4,3,5,21,14,129
125,46,4,4,4,16,20,296
100,49,4,4,7,24,11,67
105,65,4,3,34,69,5,5
130,45,3,4,6,21,13,105
53,35,6,18,26,58,6,10
40,35,8,29,19,53,7,14
15,37,9,36,119,67,4,3
121,53,4,4,8,27,10,57
128,57,3,3,11,33,8,25
61,38,6,14,100,83,4,3
57,37,7,19,41,72,5,5
132,57,4,3,11,35,8,26
30,33,10,44,112,84,4,2
126,49,4,3,58,73,4,3
117,51,4,3,8,27,11,63
88,54,5,6,12,39,8,23
41,46,7,15,5,17,17,202
149,58,3,3,8,27,11,57
127,54,4,3,4,16,21,320
26,36,9,34,168,79,3,3
120,50,4,4,10,35,9,32
122,53,4,4,8,28,10,53
118,55,4,3,9,30,9,41
119,46,4,4,6,22,12,85
132,46,3,4,5,21,14,121
138,50,4,3,9,33,10,41
133,52,4,3,7,21,10,59
127,53,3,4,10,35,9,30
121,46,3,4,18,50,7,11
145,54,3,4,17,51,7,14
107,53,4,4,5,17,15,164
100,38,4,6,7,25,12,73
88,44,4,5,5,15,16,236
109,52,4,4,6,16,14,160
12,30,11,67,52,62,5,5
115,43,4,4,11,35,8,22
110,49,4,4,5,17,13,126
116,56,4,3,6,20,14,126
131,56,3,3,7,29,11,58
134,49,4,4,8,28,10,50
123,61,4,3,4,14,19,301
103,54,4,3,7,28,10,53
93,45,4,5,5,19,15,158
118,55,4,3,7,28,11,61
116,52,4,4,5,15,18,244
102,48,4,5,117,91,3,2
115,51,4,3,9,31,9,40
129,59,4,3,5,15,17,235
38,34,8,28,107,80,4,3
128,52,3,3,5,16,15,175
103,50,4,4,5,19,15,149
26,34,10,45,41,62,6,7
61,38,6,14,23,61,6,11
106,57,4,3,4,14,20,332
55,32,8,32,57,82,5,4
144,56,3,3,7,27,11,59
151,57,3,3,6,17,14,149
116,58,4,3,6,20,12,87
122,49,4,4,15,45,7,17
109,47,4,4,12,38,8,23
102,47,4,4,6,18,13,114
133,57,4,3,5,13,21,389
112,51,4,4,5,16,17,223
95,45,4,5,7,23,12,80
144,57,3,3,7,22,10,56
112,62,4,3,6,26,12,78
116,52,4,3,11,37,8,24
16,31,11,62,46,63,5,5
112,61,4,3,11,39,8,26
95,52,4,4,6,22,13,107
120,45,4,4,5,17,16,175
102,55,4,3,5,15,16,216
140,56,3,3,7,26,11,67
29,33,10,54,20,50,7,14
140,59,3,3,6,22,11,71
88,36,5,9,11,33,8,25
33,51,7,18,92,69,4,3
110,47,4,4,4,14,21,363
167,47,3,5,6,26,12,82
133,55,4,3,5,16,18,228
107,56,4,3,5,18,15,156
122,58,4,3,28,64,6,7
131,64,3,3,6,17,14,149
136,49,4,4,5,18,17,220
132,59,3,3,4,14,21,357
48,64,6,7,162,64,2,4
113,49,4,4,61,92,4,3
104,46,4,4,27,56,6,7
95,38,4,7,6,19,12,92
113,47,4,4,5,16,15,171
112,42,4,5,7,26,12,74
112,58,4,3,6,24,13,92
123,60,4,3,6,21,13,107
114,82,4,2,4,12,30,838
120,58,4,3,6,19,13,115
128,55,4,3,6,20,12,87
96,46,4,5,4,15,20,314
93,69,4,3,5,15,18,265
